firstname,sexe,occurrences
sidonie,2,17521
casimir,1,17410
ahmed,1,17401
ludovic,1,17301
jean-marc,1,17184
thomas,1,17074
leonce,1,17051
marceline,2,16988
joelle,2,16914
mathurin,1,16846
magdeleine,2,16706
leonard,1,16695
emelie,2,16592
marie-jeanne,2,16566
moise,1,16541
angeline,2,16528
honorine,2,16478
noelie,2,16353
cornil,1,16267
romain,1,16163
angelique,2,15802
stanislas,1,15702
emilia,2,15578
ghislain,1,15557
anais,2,15540
marianne,2,15248
rosine,2,15060
clovis,1,15036
oscar,1,14813
florent,1,14694
ali,1,14664
angelina,2,14637
cesar,1,14591
kleber,1,14289
mario,1,14183
fabrice,1,14075
florentine,2,13936
viviane,2,13889
felicite,2,13623
cyrille,1,13536
lina,2,13438
barthelemy,1,13246
sylviane,2,13147
louisa,2,13125
adolphine,2,13053
zoe,2,13015
yvan,1,12854
james,1,12690
alcide,1,12548
hugues,1,12525
eloi,1,12523
mariette,2,12492
zelie,2,12411
dolores,2,12376
violette,2,12205
cornelie,2,12066
arnaud,1,12034
anatole,1,12007
joachim,1,11971
pascale,2,11920
corinne,2,11862
fanny,2,11786
edmonde,2,11784
marinette,2,11772
marie-rose,2,11756
amand,1,11631
alfreda,2,11534
ange,2,11520
eulalie,2,11502
marie-claude,2,11391
gaetan,1,11146
yannick,1,11092
flore,2,11042
joannes,1,10874
sandrine,2,10843
fabienne,2,10714
francisco,1,10679
narcisse,1,10664
samuel,1,10652
jane,2,10634
lucile,2,10527
clara,2,10478
fatima,2,10365
marie-france,2,10357
francisque,1,10315
agathe,2,10143
cyprien,1,10131
heloise,2,10036
edgard,1,9968
ambroise,1,9920
urbain,1,9893
jackie,1,9810
elodie,2,9734
giovanni,1,9714
marie-madeleine,2,9621
omer,1,9584
maryvonne,2,9485
toussaint,1,9425
irenee,1,9418
clarisse,2,9410
eveline,2,9402
regina,2,9308
jean-yves,1,9305
antonine,2,9283
jack,1,9254
rolland,1,9189
seraphin,1,9137
helena,2,9087
hector,1,9078
fabien,1,8970
edmee,2,8936
hilaire,1,8929
angelo,1,8869
giuseppe,1,8817
corentin,1,8763
sabine,2,8740
marie-christine,2,8673
said,1,8640
lucia,2,8619
abdelkader,1,8604
perrine,2,8586
anastasie,2,8515
marie-josephe,2,8507
ulysse,1,8501
celeste,2,8465
sauveur,1,8427
georgina,2,8378
damien,1,8299
juan,1,8212
palmyre,2,8191
rodolphe,1,8190
marie-antoinette,2,8096
angela,2,7969
anita,2,7913
alix,2,7887
michael,1,7881
nadia,2,7862
fortune,1,7801
marie-claire,2,7730
pascaline,2,7710
jose,2,7665
myriam,2,7640
cedric,1,7638
loic,1,7629
philibert,1,7623
frederique,2,7590
cesarine,2,7569
euphrasie,2,7549
seraphine,2,7521
olympe,2,7491
marcellin,1,7480
teresa,2,7466
edwige,2,7457
florentin,1,7387
leonce,2,7382
marie-francoise,2,7345
gerald,1,7300
suzette,2,7196
de,2,7175
vital,1,7157
thereze,2,7135
hyacinthe,1,7123
anthony,1,7118
hermance,2,7114
giselle,2,7073
sarah,2,7044
lydia,2,7020
christelle,2,6961
marcelin,1,6926
mary,1,6903
mathurine,2,6903
luce,2,6854
clotaire,1,6818
mickael,1,6806
angel,1,6768
leo,1,6738
thi,2,6727
sonia,2,6694
joaquim,1,6664
alban,1,6650
basile,1,6641
eglantine,2,6634
victorin,1,6603
paulin,1,6593
fatma,2,6550
marie-jose,2,6507
emmanuelle,2,6445
barbe,2,6432
john,1,6426
ines,2,6376
rejane,2,6372
gregoire,1,6352
ignace,1,6307
philippine,2,6290
gertrude,2,6288
josefa,2,6272
mercedes,2,6271
melina,2,6216
elvire,2,6214
luigi,1,6168
jenny,2,6157
carole,2,6157
maximin,1,6129
alix,1,6096
benoite,2,6067
rosette,2,6037
muriel,2,6032
aurelien,1,6011
leocadie,2,6002
flora,2,5950
hermine,2,5933
olive,2,5929
roseline,2,5771
vincente,2,5769
claudie,2,5757
felicienne,2,5709
luis,1,5660
maximilien,1,5587
elisee,1,5575
benedicte,2,5568
laetitia,2,5557
aimable,1,5539
alexandra,2,5539
carlos,1,5534
lise,2,5534
rita,2,5529
charline,2,5527
marie-helene,2,5517
anselme,1,5499
gervais,1,5470
muguette,2,5421
yann,1,5397
ursule,2,5383
alida,2,5377
marie-anne,2,5372
noella,2,5361
maximilienne,2,5351
nicolle,2,5341
zelia,2,5331
ambroisine,2,5320
paula,2,5318
alex,1,5305
leandre,1,5294
francisca,2,5278
eliette,2,5277
flavie,2,5277
aicha,2,5257
ben,1,5236
severine,2,5217
maria,1,5216
cyril,1,5210
simeon,1,5192
alfredine,2,5173
karine,2,5123
leona,2,5120
aurore,2,5103
francesco,1,5069
nestor,1,4996
pierre,2,4992
judith,2,4981
corentine,2,4957
sylvette,2,4955
fernando,1,4939
willy,1,4917
florian,1,4917
adelina,2,4903
blaise,1,4853
jean-philippe,1,4834
miguel,1,4827
fortunee,2,4787
lazare,1,4784
ana,2,4782
elia,2,4773
amelia,2,4745
joanny,1,4717
corneille,1,4709
kevin,1,4705
albin,1,4691
christianne,2,4670
marin,1,4664
roselyne,2,4640
florine,2,4633
mary,2,4604
walter,1,4599
aloyse,1,4579
colombe,2,4561
baptistin,1,4557
blandine,2,4516
gregory,1,4512
el,1,4511
amar,1,4506
sylvia,2,4496
salah,1,4488
